sim	vc	vc_star	Mb	MHI	M_V	BminV	VminI	Re	mu0	FeH
CaPaM3R05L	0.0	23.6609517843	2399784.20775	415.068999081	-10.860294656	0.5566237918	0.8168938822	1.06463989609	26.7187599288	-3.74011885649
CaPaM3R10L	0.0	22.6530291369	1940611.55601	344.586644525	-10.9109696338	0.5563348788	0.9571079664	3.03581189347	27.8449504278	-3.76414157285
CaPaM5R00L	0.0	24.7995784719	9520714.41562	13899.8880376	-13.698076368	0.5366023124	0.9387706884	7.64293620805	26.3424218325	-3.37697558549
CaPaM5R05L	0.0	29.9446726021	3493014.23117	12276.9879836	-11.805244394	0.5649510394	0.9696376163	0.785863760361	25.4339996022	-3.19638602733
CaPaM5R10L	8.81017253046	26.2224079551	8870407.80342	3671224.56062	-12.1769916558	0.5920256766	0.9871144452	0.975302022543	25.5867279282	-2.2603096752
CaPaM7R00L	0.0	30.8916226689	15184990.7462	3260374.47186	-13.2001143703	0.6494435156	1.006084719	1.43604076621	24.9584013754	-2.60203332303
CaPaM7R05L	0.0	29.4278265469	8666384.63436	1436217.21122	-12.9069180752	0.5882508403	0.9915810074	1.08087375634	24.7049976869	-2.28256047243
CaPaM7R10L	8.51986154601	31.0026239685	11074130.4654	2181541.98863	-12.8084856621	0.6165590238	0.9950501183	1.09299612747	25.0469264755	-2.62929965466
CaPaM9R00L	15.4404322464	31.1716045907	65017353.4419	11561478.3651	-13.3621681178	0.6137697352	0.9994105392	1.05160379438	24.5504825069	-2.44828476601
CaPaM9R05L	11.2888202356	33.2690304891	92537410.6183	24826314.5658	-14.4747340065	0.6482408182	1.0468782993	1.23965628334	23.6457952086	-1.72757916376
CaPaM9R10L	19.8935281595	33.6723662807	90971205.5008	39417623.6339	-14.8055078111	0.6345792226	1.0551974802	1.58148758151	23.612007626	-1.74297603513
C9P8M1R00L	0.0	18.801345065	1067977.85946	89.9538752491	-10.1807797773	0.56403676355	0.9604034873	1.62715281101	26.9430966718	-2.24191519732
C9P8M1R05L	0.0	19.447488838	590117.663827	89.8995905192	-9.85568284794	0.5643927353	0.96111068336	0.642994717195	26.7862630248	-2.25060107552
C9P8M1R10L	0.0	18.764873097	518934.493492	104.608499662	-9.90997938853	0.58078985195	0.96984944037	0.630722615371	26.8316888227	-2.25544456681
C9P8M3R00L	0.0	25.1351692631	9263693.43498	312.827856853	-12.9932883184	0.5670702784	0.9627802105	2.92556266688	25.6871779753	-2.68280515419
C9P8M3R05L	0.0	22.0900007881	18757756.0752	522.490314464	-13.8412783702	0.614714466	0.9888672357	7.06532401169	26.5674395755	-2.31678956572
C9P8M3R10L	0.0	21.9908009073	10117237.1478	657.653638601	-13.1779259286	0.5519934913	0.9485213408	4.04571573654	26.6328203801	-2.15179438534
C9P8M5R00L	0.0	31.5935525145	36829673.3123	1234740.83802	-14.1015100902	0.6129440049	0.9916739059	1.19281771005	23.5303348718	-2.15036448609
C9P8M5R05L	9.43239956003	27.4127939008	74613768.0945	3998213.05744	-14.4996553248	0.6138337325	0.9665952106	2.70927103041	24.716287917	-1.98923186552
C9P8M5R10L	10.9949690174	28.0222703218	26322069.7177	4394156.77935	-13.6390922582	0.6452037254	1.0074316589	1.34429628817	24.5861966633	-1.83522603377
C9P8M7R00L	20.5973093869	46.8068540169	255227347.162	4371658.99628	-15.8459213555	0.6961282385	1.0789770477	0.638769675308	21.0150241942	-1.37506674805
C9P8M7R05L	11.9824794179	37.1199780305	135911604.409	6634294.78973	-14.9912659967	0.6432107653	1.0302075734	0.887028046085	22.5633675868	-1.70190291245
C9P8M7R10L	16.7358049466	35.4412396075	205587010.371	48008609.216	-15.2186536728	0.6769153054	1.0495299723	1.69920330622	23.41830528	-1.57088380658
C9P8M9R00L	0.0	100.791728921	1104994736.16	5.63707261302	-17.1081116814	0.793198087	1.1735538936	0.507747822346	18.8631695666	-0.838568787973
C9P8M9R05L	49.354064396	50.5564997219	468229666.414	24341880.7119	-16.3180266496	0.7141803811	1.0939376648	1.05564298096	21.4576108286	-1.1916946791
C9P8M9R10L	31.7658953093	42.6013853972	314534241.335	140658089.588	-16.1964204415	0.7300892063	1.1298187449	1.62629053797	22.4530384501	-1.26987880694
C9P9M1R10L	0.0	18.2933823515	73888.0113207	82.8239802777	-7.68363075631	0.55336025721	0.95399804489	0.907422765798	29.5484584986	-99.0
C9P9M3R10L	0.0	21.2558098662	8139230.26219	501.019469046	-11.3297607602	0.5876583546	0.9740018628	1.5979425095	27.131085892	-2.13735225471
C9P9M5R10L	12.7531225531	28.9813657464	20145122.7797	6093537.91112	-13.0544258614	0.5706180221	0.9993907252	0.741168237705	24.2710123714	-1.76219124065
C9P9M7R10L	14.3615450887	32.8476771827	58352800.3737	21829489.5066	-13.9637102691	0.5008163832	0.9824936131	0.718239336291	23.3048295532	-1.6687091511
C9P9M9R10L	27.060496328	37.0695697952	254355169.255	57415798.4871	-15.0555360901	0.5978644081	1.0186619961	1.11922018737	22.8423537098	-1.45035987348
